Unnamed: 0,Title,Price,Price_Origin,Link,Image,Retailer,TimeStamp,Source
11,"YSIM Meteor Shower Rain Lights,Twinkling Romantic Lights for Party, Wedding, Christmas, etc.11.8inch 8 Tubes (White)",$15.99,$17.99,https://www.amazon.com/YSIM-Twinkling-Romantic-Christmas-etc-11-8inch/dp/B073S1PPJD/ref=sr_1_14?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-14,https://m.media-amazon.com/images/I/61zOXVPPr4L._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
12,"KRISLOG for iPhone Charger, MFi Certified Lightning Cable 10Ft 6Ft 6Ft 3Ft 3Ft Braided iPhone Charger Cable Data Sync Transfer Cord Compatible with iPhone 11 Pro Max/XS MAX/XR/XS/X/8/7/Plus/6S 5-Pack",$8.99,$9.79,https://www.amazon.com/KRISLOG-Certified-Lightning-Transfer-Compatible/dp/B08HV72FB2/ref=sr_1_15?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-15,https://m.media-amazon.com/images/I/71sqdywyz5L._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
13,DREAM PAIRS Women's Ankle Bootie Winter Lace up Mid Calf Military Combat Boots,$36.99,0,https://www.amazon.com/DREAM-PAIRS-Womens-Terran-Built/dp/B01GEZODPM/ref=sr_1_16?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-16,https://m.media-amazon.com/images/I/71uM030YF8L._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
14,"Wireless Earbuds, Bluetooth 5.1 Wireless Headphones Sport Bluetooth Earphones in Ear Noise Cancelling Earbuds with Mic[Deep Bass], IP7 Waterproof, 40H Playtime Headset with Charging Case[New Upgraded]",$36.96,$49.99,https://www.amazon.com/Motast-Bluetooth-Headphones-Mini-Wireless/dp/B086953YKC/ref=sr_1_17_mod_primary_lightning_deal?dchild=1&keywords=lightning+deals&qid=1609292780&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D&smid=A13YR6FRTPXD24&sr=8-17,https://m.media-amazon.com/images/I/61aoQgmMi1L._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
15,"iPhone Charger, YUNSONG 3Pack 6FT Nylon Braided Lightning Cable Charging Cord USB Cable Compatible with iPhone 11 Pro Max XS XR X 8 7 6S 6 Plus SE 5S",$9.99,0,https://www.amazon.com/Charger-YUNSONG-Lightning-Charging-Compatible/dp/B07PHB491R/ref=sr_1_18?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-18,https://m.media-amazon.com/images/I/61uCW3fM65L._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
16,WUYA iPhone Charger MFi Certified 5 Pack - 6FT Lightning Cable Nylon Woven High Speed Data Sync Cord Compatible iPhone 11 Pro X XR max 8 7 6 6s Plus 5 SE - Color,$10.99,0,https://www.amazon.com/WUYA-iPhone-Charger-Certified-Pack/dp/B086X32FHW/ref=sr_1_19?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-19,https://m.media-amazon.com/images/I/71VJ0E7OJJL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
17,"Anker 6ft Premium Nylon Lightning Cable [2-Pack], MFi Certified for iPhone Chargers, iPhone SE/Xs/XS Max/XR/X / 8 Plus / 7/6 Plus, iPad Pro Air 2, and More(Black)",$19.99,0,https://www.amazon.com/Anker-Premium-Lightning-Certified-Chargers/dp/B07D9C8NP2/ref=sr_1_20?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-20,https://m.media-amazon.com/images/I/71zoEPs1mdL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
18,Amazon Essentials Women's Cotton Stretch Bikini Panty,$20.00,0,https://www.amazon.com/Amazon-Essentials-Womens-Stretch-10-Pack/dp/B07CJWMX3L/ref=sr_1_21?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-21,https://m.media-amazon.com/images/I/81fAV6xoncL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
19,Hanes Women’s EcoSmart Sweatpant – Regular and Petite Lengths,$7.50,$15.00,https://www.amazon.com/Hanes-Womens-Middle-Sweatpant-Light/dp/B0169P8TGG/ref=sr_1_22?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-22,https://m.media-amazon.com/images/I/81LGXnbuO7L._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
20,PLmuzsz MFi Certified iPhone Charger 5 Pack(3+3+6+6+10ft) High Speed Nylon Braided USB Fast Charging&Data Syncs Cord Compatible iPhone Xs/Max/XR/X/8/8Plus/7/7Plus/6S/6S Plus/SE/iPad/Nan Black&Blue,$9.98,0,https://www.amazon.com/PLmuzsz-Certified-Lightning-Charging-Compatible/dp/B081V758PN/ref=sr_1_23?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-23,https://m.media-amazon.com/images/I/71SgpPOpxVL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
21,Apple Lightning Cable [5Pack-336610FT] iPhone Charger Cable Apple MFi Certified iPhone 11 Pro Xs MAX iPad Charging Cable Cord Fast Long USB Chargers,$9.99,0,https://www.amazon.com/Lightning-5Pack-336610FT-Certified-Charging-Chargers/dp/B08MQ9R2HF/ref=sr_1_24?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-24,https://m.media-amazon.com/images/I/81OFlHwVe5L._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
22,SHIBEVER Women's Soft Casual Tops Shirts Fashion Twist Knotted Blouses Long Sleeve Round Neck Tunic T Shirt,$17.99,$24.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02910172SXXVWW46O4X5&url=%2FSHIBEVER-Fashion-Knotted-Blouses-Outfits%2Fdp%2FB07VJXWWF6%2Fref%3Dsr_1_25_sspa%3Fdchild%3D1%26keywords%3Dlightning%2Bdeals%26qid%3D1609292780%26sr%3D8-25-spons%26psc%3D1&qualifier=1609292780&id=6253079025082915&widgetName=sp_mtf,https://m.media-amazon.com/images/I/71GsPKHN4dL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
23,"Sharpty Inverted Umbrella, Umbrella Windproof, Reverse Umbrella, Umbrellas for Women with UV Protection, Upside Down Umbrella with C-Shaped Handle",$19.95,0,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00466212TCJX8V1DMC97&url=%2FSharpty-Inverted-Windproof-Umbrellas-Protection%2Fdp%2FB07N33BG22%2Fref%3Dsr_1_26_sspa%3Fdchild%3D1%26keywords%3Dlightning%2Bdeals%26qid%3D1609292780%26sr%3D8-26-spons%26psc%3D1&qualifier=1609292780&id=6253079025082915&widgetName=sp_mtf,https://m.media-amazon.com/images/I/81nV0UJ472L._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
