,Title,Price,Price_Origin,Link,Image,Retailer,TimeStamp,Source
16,GoPro HERO8 Black 12 MP Waterproof 4K Camera Camcorder + Ultimate Action Bundle,359.95,439.99 ,https://www.ebay.com/itm/GoPro-HERO8-Black-12-MP-Waterproof-4K-Camera-Camcorder-Ultimate-Action-Bundle/223768582898,https://i.ebayimg.com/images/g/spwAAOSwmU9d3cNg/s-l300.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
17,Canon EF 16-35mm f/2.8L III USM Lens,"1,649.95","2,199.00 ",https://www.ebay.com/itm/Canon-EF-16-35mm-f-2-8L-III-USM-Lens/223622442384,https://i.ebayimg.com/images/g/YyoAAOSw31ddUuvz/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
18,Sony PlayStation PS Plus 12-Month / 1 Year Membership Subscription,34.99,0,https://www.ebay.com/itm/Sony-PlayStation-PS-Plus-12-Month-1-Year-Membership-Subscription/124014973844,https://i.ebayimg.com/images/g/tskAAOSw0c9bhZ-k/s-l300.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
19,1200mAh Rechargeable Replacement Battery for Sony PSP Slim 2001 2000 3000 2006,9.19,12.99 ,https://www.ebay.com/itm/1200mAh-Rechargeable-Replacement-Battery-for-Sony-PSP-Slim-2001-2000-3000-2006/360695951634,https://i.ebayimg.com/images/g/XJgAAOSwOfVfgBDG/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
20,"ASTRO Gaming A10 Wired 3.5mm Gaming Headset Xbox One, PS4, PC, Call of Duty",23.99,79.99 ,https://www.ebay.com/itm/ASTRO-Gaming-A10-Wired-3-5mm-Gaming-Headset-Xbox-One-PS4-PC-Call-of-Duty/352588871623,https://i.ebayimg.com/images/g/ZyUAAOSwaqtcXLOF/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
21,"Apple iPad 2 16GB, Wi-Fi,  9.7in - Black (MC769LL/A) - Warranty Included",77.99,199.99 ,https://www.ebay.com/itm/Apple-iPad-2-16GB-Wi-Fi-9-7in-Black-MC769LL-A-Warranty-Included/251980109783,https://i.ebayimg.com/images/g/tAgAAOSwl8NVbKJK/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
22,"Samsung Galaxy Tab 4 10.1"" 16GB - WIFI ONLY",124.00,299.00 ,https://www.ebay.com/itm/Samsung-Galaxy-Tab-4-10-1-16GB-WIFI-ONLY/164537489430,https://i.ebayimg.com/images/g/b1IAAOSwcW9fvuE0/s-l300.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
23,Samsung Galaxy Tab A 8.0 SM-T387VK 32GB Black Verizon (Unlocked)  A,144.99,349.99 ,https://www.ebay.com/itm/Samsung-Galaxy-Tab-A-8-0-SM-T387VK-32GB-Black-Verizon-Unlocked-A/193718712502,https://i.ebayimg.com/images/g/ePYAAOSw6ttcpogI/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
24,TREBLAB X5 Sports Bluetooth Earbuds True Wireless Stereo Headphones for Running,69.97,0,https://www.ebay.com/itm/TREBLAB-X5-Sports-Bluetooth-Earbuds-True-Wireless-Stereo-Headphones-for-Running/273261655701,https://i.ebayimg.com/images/g/TqgAAOSwCtxfPbCI/s-l300.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
25,For Apple iPhone XS Max/XR/XS/X/8/7 6s Plus Tough Shockproof Armor Hybrid Case,6.49,49.99 ,https://www.ebay.com/itm/For-Apple-iPhone-XS-Max-XR-XS-X-8-7-6s-Plus-Tough-Shockproof-Armor-Hybrid-Case/400918113149,https://i.ebayimg.com/images/g/LjQAAOSwDFBaFj5P/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
26,Samsung Galaxy S10 Plus / Galaxy S10 / Galaxy S10e Case Ringke [FUSION-X] Cover,10.99,40.00 ,https://www.ebay.com/itm/Samsung-Galaxy-S10-Plus-Galaxy-S10-Galaxy-S10e-Case-Ringke-FUSION-X-Cover/254124614534,https://i.ebayimg.com/images/g/pQ8AAOSwQ4Rdlflo/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
27,Toshiba Canvio Ready 2TB Portable External USB 3.0 Hard Drive - Black,66.99,79.99 ,https://www.ebay.com/itm/Toshiba-Canvio-Ready-2TB-Portable-External-USB-3-0-Hard-Drive-Black/193146290178,https://i.ebayimg.com/images/g/lykAAOSwCXBdm3w~/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
28,Pioneer 6x Slim Portable USB 3.0 BD/DVD/CD Burner BDR-XD07S,94.99,139.99 ,https://www.ebay.com/itm/Pioneer-6x-Slim-Portable-USB-3-0-BD-DVD-CD-Burner-BDR-XD07S/184043497049,https://i.ebayimg.com/images/g/MF8AAOSwl2dd1M1k/s-l300.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
29,WD Blue 500 GB M.2 2280 3D NAND SATA III Internal SSD WDS500G2B0B,59.99,79.99 ,https://www.ebay.com/itm/WD-Blue-500-GB-M-2-2280-3D-NAND-SATA-III-Internal-SSD-WDS500G2B0B/183837547858,https://i.ebayimg.com/images/g/aVEAAOSwT8Fc-Fbj/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
30,"Sony ZX220BT Wireless On-Ear Bluetooth Headphones w/ Built-In Microphone, Black",34.99,95.00 ,https://www.ebay.com/itm/Sony-ZX220BT-Wireless-On-Ear-Bluetooth-Headphones-w-Built-In-Microphone-Black/233572680925,https://i.ebayimg.com/images/g/AaoAAOSwV7Zep7Us/s-l300.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
31,TREBLAB FX100 Rugged Outdoor Speaker Wireless Portable with Built-in Power Bank,52.48,89.97 ,https://www.ebay.com/itm/TREBLAB-FX100-Rugged-Outdoor-Speaker-Wireless-Portable-with-Built-in-Power-Bank/273525334567,https://i.ebayimg.com/images/g/G7cAAOSwsaZf2mq5/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
32,1MORE Triple Driver In-Ear Earphones Hi-Res Headset with High Resolution - E1001,62.00,69.00 ,https://www.ebay.com/itm/1MORE-Triple-Driver-In-Ear-Earphones-Hi-Res-Headset-with-High-Resolution-E1001/333625990122,https://i.ebayimg.com/images/g/jRoAAOSwLKxfmrP~/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
