,Title,Price,Price_Origin,Link,Image,Retailer,TimeStamp,Source
0,"Bose Solo 5 TV Sound System, Certified Refurbished",$129.95,$199.95 ,https://www.ebay.com/itm/Bose-Solo-5-TV-Sound-System-Certified-Refurbished/164023519308?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400,https://i.ebayimg.com/images/g/kKkAAOSwQrpfxS~p/s-l225.jpg,ebay,2020-12-29T20:46:36,https://www.ebay.com/deals/tech
1,Google Home Max Speaker Smart Wifi Assistant - Charcoal - (GA00223-US),$179.00,$299.00 ,https://www.ebay.com/itm/Google-Home-Max-Speaker-Smart-Wifi-Assistant-Charcoal-GA00223-US/224203456831?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400,https://i.ebayimg.com/images/g/Cl0AAOSwNyFfkI1H/s-l225.jpg,ebay,2020-12-29T20:46:36,https://www.ebay.com/deals/tech
2,Sony SRS-XB33 EXTRA BASS Wireless Portable Bluetooth Speaker - SRSXB33/B - Black,$72.99,$149.99 ,https://www.ebay.com/itm/Sony-SRS-XB33-EXTRA-BASS-Wireless-Portable-Bluetooth-Speaker-SRSXB33-B-Black/313150643144?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400,https://i.ebayimg.com/images/g/aLoAAOSwlAdf61KP/s-l225.jpg,ebay,2020-12-29T20:46:36,https://www.ebay.com/deals/tech
3,Garmin Oregon 700 Handheld GPS with Built-In Wi-Fi & Bluetooth,$175.99,$399.99 ,https://www.ebay.com/itm/Garmin-Oregon-700-Handheld-GPS-with-Built-In-Wi-Fi-Bluetooth/324352136650?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400,https://i.ebayimg.com/images/g/su4AAOSwZq9fmaNI/s-l225.jpg,ebay,2020-12-29T20:46:36,https://www.ebay.com/deals/tech
4,"LENOVO 81TA0010US Chromebook C340-11 11.6"" HD Touchscreen Celeron N4000 1.1GHz",$215.00,$259.00 ,https://www.ebay.com/itm/LENOVO-81TA0010US-Chromebook-C340-11-11-6-HD-Touchscreen-Celeron-N4000-1-1GHz/124237297083?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400,https://i.ebayimg.com/images/g/TYwAAOSwDgtf61JJ/s-l225.jpg,ebay,2020-12-29T20:46:36,https://www.ebay.com/deals/tech
5,Apple iPhone 8 Plus 64GB Unlocked Smartphone,$304.95,$799.00 ,https://www.ebay.com/itm/Apple-iPhone-8-Plus-64GB-Unlocked-Smartphone/362534145919?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400,https://i.ebayimg.com/images/g/RHIAAOSwCtJaGbNC/s-l225.jpg,ebay,2020-12-29T20:46:36,https://www.ebay.com/deals/tech
6,"Samsung QN65Q800TAFXZA 65"" 8K QLED Smart TV - Titan Black QN65Q800T","$1,948.95","$2,448.95 ",https://www.ebay.com/itm/Samsung-QN65Q800TAFXZA-65-8K-QLED-Smart-TV-Titan-Black-QN65Q800T/402441777671?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400,https://i.ebayimg.com/images/g/kpwAAOSwtzlez96D/s-l225.jpg,ebay,2020-12-29T20:46:36,https://www.ebay.com/deals/tech
7,"Energy by Klipsch RC-LCR Center, Left, Right Main Speaker Bookshelf Home Theater",$177.95,$217.95 ,https://www.ebay.com/itm/Energy-by-Klipsch-RC-LCR-Center-Left-Right-Main-Speaker-Bookshelf-Home-Theater/402318712714?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400,https://i.ebayimg.com/images/g/yeIAAOSwG0BfBKMl/s-l225.jpg,ebay,2020-12-29T20:46:36,https://www.ebay.com/deals/tech
8,Bluedio T7 Bluetooth Headphones ANC Wireless Headset music with face recognition,$31.99,$64.99 ,https://www.ebay.com/itm/Bluedio-T7-Bluetooth-Headphones-ANC-Wireless-Headset-music-with-face-recognition/254669218079?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400,https://i.ebayimg.com/images/g/fdYAAOSwwFleIRmF/s-l225.jpg,ebay,2020-12-29T20:46:36,https://www.ebay.com/deals/tech
9,Garmin Drivesmart 65T 6.95 Inch GPS Navigation Device + Traffic & Smart Features,$109.00,$169.99 ,https://www.ebay.com/itm/Garmin-Drivesmart-65T-6-95-Inch-GPS-Navigation-Device-Traffic-Smart-Features/203218846878?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400,https://i.ebayimg.com/images/g/3ssAAOSwPKlf17ji/s-l225.jpg,ebay,2020-12-29T20:46:36,https://www.ebay.com/deals/tech
